Title,Description,Webpage,TaDiRAH goals & methods,Code license,Developer,Platform,Status,Tags,TAPoR,DiRT URL,Updated date
sheetsee.js,"""Sheetsee.js is a JavaScript library, or box of goodies, if you will, that makes it easy to use a Google Spreadsheet as the database feeding the tables, charts and maps on a website. Once set up, any changes to the spreadsheet will be auto-saved by Google and be live on your site when a visitor refreshes the page. 
Using Google Spreadsheets as the backend database is awesome because it is easy to use, share and collaborate with."" -- website
",http://jlord.us/sheetsee.js/,,"Open source, BSD",Jessica Lord,Run in Browser,Active,"visualisation, maps, charts, tables, data, geohumanities",,http://dirtdirectory.org/resources/sheetseejs,6/7/16
Ptolemaic,"Ptolemaic is a computer application for music visualization and analysis written in the Java programming language. The software is designed to aid in the analysis of all types of Western music using established analytical techniques, including tonal functional analysis (Harrison 1994), pitch-class set analysis (Forte 1973), hierarchical linear analysis (Schenker 1935, Jones 2002), tonal pitch-space analysis on the Tonnetz (Riemann 1915), pitch-class set analysis (Forte 1973), and transformation analysis (Lewin 1987). Musical works and excerpts may be opened and saved using the de-facto standard music notation interchange format, MusicXML. To assist in analysis, Ptolemaic can display the music on a pitch/time graph, on a pitch-class/time graph, on a step-class/time graph (also called a diatonic lattice) (Jones 2002), on the Tonnetz, or using filtered point-symmetry (Douthett 2008). Pitch classes and chords are color coded so that the user can easily correlate them across each graph. The benefit of having a software tool to visualize and perform certain analysis tasks is in automating processes that are normally time-consuming for the musician, thus allowing the music scholar to focus on the musical issues, rather than the technical issues of graphing, and calculating chord classes. Ptolemaic provides useful ways of visualizing a piece of music and tools for gaining more information about that music, so that the user can efficiently make informed musical decisions about the music and preserve that analysis for future study.
",http://ptolemaic.lander.edu/,"Imaging, Structural Analysis, Visualization","Open source, GNU GPL","Robert Kelley, Gilliean Lee",Other,Beta,"MusicXML, music analysis, music, music theory",,http://dirtdirectory.org/resources/ptolemaic,12/29/14
Snapzen,"Snapzen is a browser tool that is used to collaborate with others about the information on any web page - right from your browser.
Discuss information on web pages with your colleagues, friends or family. It is easy to collaborate with others because they see exactly what you see on the web pages.
If you still use copy and paste, screenshot tools, email or chat to discuss web pages, Snapzen will show you a better way.
",https://snapzen.com/screen-capture,"Capture, Gathering, Enrichment, Annotating, Dissemination, Sharing, Collaboration",Closed source,RAMESH PARAMESWARAN,Run in Browser,Beta,"screen capture, annotation, Image Annotation, web applications",,http://dirtdirectory.org/resources/snapzen,6/15/15
Statwing,"Statwing is an easy-to-use, web-based tool for data analysis and visualization. Upload data, select variables of interest, and Statwing automatically selects statistical tests and visualizations, then distills the results into plain English sentences (as well as traditional statistical output for those so inclined).
Free trial available, as well as multiple pricing plans:
Statwing Silver — $50/month (unlimited datasets up to 50 MB each)
Statwing Gold — $100/month (unlimited datasets up to 500 MB each)
Statwing Enterprise — Inquire for cost (unlimited datasets up to 5 GB each, optional on-premise deploy)
",https://www.statwing.com/,"Analysis, Visualization",Closed source,Statwing Inc.,Run in Browser,Active,"data visualization, visualization, Statistical analysis, data analysis",,http://dirtdirectory.org/resources/statwing,12/29/14
Juxta Commons,"The Juxta family of software (Juxta, Juxta WS, and Juxta Commons) allows you to compare and collate versions of the same textual work. Juxta Commons is an online space powered by the open-source Juxta Web Service that lets you collate sets of two or more texts and share online visualizations of the differences between them. Side-by-side or ""heat map"" visualizations can be viewed on the Juxta Commons site, while embedding codes are available for sharing a compact version of the heat map visualization on your own blog or website. Collation results can also be output as an XML file with TEI parallel segmentation markup, or as a Word document or HTML file with a base text and traditional textual apparatus. Development of Juxta Commons was sponsored by NINES.
",http://juxtacommons.org/,,,"NINES, Performant Software Solutions LLC",Run in Browser,Active,"juxta, collation, textual analysis, textual criticism, comparison",,http://dirtdirectory.org/resources/juxta-commons,12/29/14
RSiena,"RSiena is a package for the R language that enables the statistical analysis of network data, including longitudinal network data, longitudinal data of networks and behavior, and cross-sectional network data. It provides the same functionality available in SIENA (Simulation Investigation for Empirical Network Analysis), Windows software which is no longer maintained.
",http://www.stats.ox.ac.uk/~snijders/siena/,"Analysis, Network Analysis","Open source, GNU GPL v2",,Other,Active,network analysis,,http://dirtdirectory.org/resources/rsiena,5/13/15
Annotator,"Annotator is an open source JavaScript library that developers can include on their pages (along with jQuery) to allow users to annotate content. Annotations can be stored in AnnotateIt.
",http://okfnlabs.org/annotator/,,"MIT License, GNU GPL v3, Open source",Open Knowledge Foundation,Run in Browser,Active,Javascript,,http://dirtdirectory.org/resources/annotator,5/20/15
Nomenklatura,"Nomenklatura is a reference data recon server. It is a service that allows users to define and manage manage lists of canonical entities (e.g. person or organization names) and aliases that connect to one of the canonical entities.  This helps to clean up messy data in which a single entity may be referred to by many names.It includes a user interface, an API, and a reconciliation endpoint for OpenRefine for matching data from data sets with the canonical entries. 
By submitting data to Nomenklatura, users agree to license it under the terms of the Open Database License.
",http://nomenklatura.okfnlabs.org/,"Enrichment, Cleanup, Editing",Open source,Open Knowledge Foundation,Run in Browser,Active,"curation, data rectification",,http://dirtdirectory.org/resources/nomenklatura,12/29/14
MALLET package for R,"This package allows users to train topic models in MALLET and load results directly into R.
",http://cran.r-project.org/web/packages/mallet/,"Analysis, Content Analysis","Open source, MIT License",David Mimno,Other,Active,r,,http://dirtdirectory.org/resources/mallet-package-r,3/25/15
NewRadial (INKE),"NewRadial is an interactive visualization environment that uses an adapter system to display and combine content from remotely-served or locally situated databases.  Although initially designed for use with image-based databases, NewRadial’s capabilities have been extended to handle the manipulation and annotation, in a visual field, of text-based databases.  This  adaptive ability makes it ideal for use with literary works, and—given its web-based functionality--ideal for collecting, associating and displaying independent databases together in the same visual field for use by a particular knowledge community.  
The NewRadial prototype encourages three types of work:
1.	 A simple search, sorting and manipulation of database objects in a visual field for the purposes of early scholarly inquiry and curiosity-based research
2.	Initial, raw and in-process commentary on connections and associations between database objects.  Within the database’s visual field, scholars can add comments on such correlations, thus starting conversations, discussions and debates relating to such ideas.  These discussions are hosted and archived by the NewRadial server.
3.	Larger edition projects in which a community is able to centralize and sort specific selections from a larger database.  NewRadial can be used to construct these curated environments, browse such environments, and (if desired) encourage secondary scholarship to proliferate in and around such projects.

Source code: http://sourceforge.net/projects/newradial-inke/
",http://inke.acadiau.ca/newradial/,,"Open source, GNU GPL, GNU GPL v3","Jon Saklofske, Jake Bruce, INKE Modelling and Prototyping Team",Run in Browser,Active,"visualization, annotation, adapter, mapping, INKE, geohumanities",,http://dirtdirectory.org/resources/newradial-inke,6/7/16
